659025127,58807.24,0.015,882.10,1617235199676,false
659025128,58809.04,0.004,235.23,1617235199676,false
659025129,58809.14,0.005,294.04,1617235199676,false
659025130,58809.13,0.339,19936.29,1617235199734,true
659025131,58810.99,0.01,588.10,1617235199975,true
659025132,58810.99,0.003,176.43,1617235199975,true
659025133,58810.99,0.002,117.62,1617235199976,true
659025134,58810.99,0.007,411.67,1617235199976,true
659025135,58807.25,0.005,294.03,1617235199976,true
659025136,58807.24,0.018,1058.53,1617235199976,true
